series,model,order,seasonal_order,aic,bic,test_rmse,test_mae,test_mape
Sales,SARIMA,"(1, 0, 1)","(1, 1, 1, 11)",95.50640748328134,100.4850688510513,28.619190448037283,27.8653681656324,43.175230420474634
Sales,SARIMA,"(0, 0, 2)","(1, 0, 1, 11)",1243.5429343368876,1250.5489212451985,26.450764526269605,14.956983204992293,46.92492476654646
Sales,SARIMA,"(1, 0, 0)","(1, 1, 0, 11)",99.03258755320775,102.16615486637802,33.22966718329734,32.24773008953551,48.56096211883607
Sales,SARIMA,"(1, 0, 2)","(0, 1, 1, 11)",90.74709227061274,95.46928716644494,34.20490896211538,33.79691408724391,53.49603441552683
Sales,SARIMA,"(1, 0, 0)","(1, 1, 1, 11)",99.85528905263341,104.0333788035271,39.359328862397255,37.45221771542851,53.948900003614284
Sales,SARIMA,"(1, 0, 1)","(0, 1, 1, 11)",98.81287501108223,102.79580410529819,37.232801363231616,36.50713600104413,55.82045458344788
Sales,SARIMA,"(2, 0, 0)","(0, 1, 1, 11)",103.13107033201243,107.30916008290612,38.639546325735445,37.75614364554162,57.142606379522434
Sales,SARIMA,"(2, 0, 1)","(0, 1, 1, 11)",101.20637433781465,106.18503570558461,39.24926906295132,38.299290350155076,57.637717191013806
Sales,SARIMA,"(1, 0, 0)","(0, 1, 1, 11)",101.26407142100479,104.39763873417506,40.4101045640577,39.34353265112775,58.83643636534317
Sales,SARIMA,"(2, 0, 2)","(0, 0, 0, 11)",343.5731717591586,352.1410320926801,41.49924249611021,32.142767882187215,84.84821585020218
Sales,SARIMA,"(2, 0, 1)","(0, 0, 0, 11)",349.1553875321631,356.10606600529655,43.21032755980762,33.716273150814864,88.21209315492072
Sales,SARIMA,"(1, 1, 2)","(0, 0, 0, 11)",337.9232049116103,344.678722728066,46.28091085199504,39.61944538912695,89.45433972064542
Sales,SARIMA,"(2, 1, 2)","(0, 0, 0, 11)",339.8878219204307,348.3322191910004,46.44286052434508,39.73908339131237,89.8771536709485
Sales,SARIMA,"(2, 1, 1)","(0, 0, 0, 11)",345.24294554771507,352.0972338145323,46.47173830504793,39.66030166480119,90.43327499064942
Sales,SARIMA,"(1, 1, 1)","(0, 0, 0, 11)",343.2452799021761,348.385996102289,46.48214137076628,39.67541460726442,90.49369289833365
Sales,SARIMA,"(0, 0, 1)","(0, 0, 1, 11)",2301.8023516939693,2306.104313307425,95.16077378438365,84.57798467683807,95.48057220757002
Sales,SARIMA,"(0, 1, 2)","(0, 0, 1, 11)",1263.2681952768621,1268.737378596808,47.8603676775651,40.654368472563995,96.27158446781092
Sales,SARIMA,"(1, 1, 1)","(0, 0, 1, 11)",1119.733890082597,1125.3386796092457,47.88301292487954,40.669400359523266,96.31816159957204
Sales,SARIMA,"(0, 1, 2)","(0, 0, 0, 11)",336.2127592197938,341.2793975821356,47.99013974805609,40.72928777900178,96.57995331191457
Sales,SARIMA,"(2, 1, 0)","(0, 0, 0, 11)",343.49091318914583,348.63162938925876,48.13580543997458,40.81253178753517,96.91814729800842
Sales,SARIMA,"(2, 1, 0)","(0, 0, 1, 11)",1166.5281737064888,1172.2641225244295,48.135919282338484,40.81259677339976,96.91840728781386
Sales,SARIMA,"(0, 1, 1)","(0, 0, 1, 11)",1054.9161958749485,1059.119788019935,48.23109204984019,40.86674507016326,97.1339736511209
Sales,SARIMA,"(0, 1, 1)","(0, 0, 0, 11)",341.496820449302,344.9239645827106,48.234698238228994,40.868764465851044,97.14242639159035
Sales,SARIMA,"(1, 1, 0)","(0, 0, 1, 11)",1252.3293982985408,1256.6313599119962,48.299656539935064,40.905208035039315,97.29111263092946
Sales,SARIMA,"(1, 1, 0)","(0, 0, 0, 11)",348.7497700397538,352.22510927632055,48.29965712083654,40.90520835823331,97.29111399602436
Sales,SARIMA,"(0, 1, 0)","(0, 0, 1, 11)",1332.0731721281134,1334.9411465370836,48.68670716473987,41.118181818179,98.18643186405261
Sales,SARIMA,"(0, 1, 0)","(0, 0, 0, 11)",346.93516540947246,348.6728350277558,48.68670716474318,41.118181818181824,98.18643186405922
Sales,SARIMA,"(0, 0, 0)","(0, 0, 1, 11)",1318.846963523638,1321.7784353292373,95.30628139176991,85.49090909090889,99.99999999999977
Sales,SARIMA,"(0, 0, 0)","(0, 0, 0, 11)",453.08841131485326,454.8496114305468,95.30628139177016,85.49090909090908,100.0
Sales,SARIMA,"(0, 0, 1)","(0, 0, 0, 11)",406.00335978577834,409.4786990223451,95.33535848170996,85.62334410908812,100.65561890187644
Sales,SARIMA,"(1, 0, 0)","(0, 0, 1, 11)",1515.8507276578282,1520.2479353662275,51.3351839557073,41.75458130405232,103.73057255568143
Sales,SARIMA,"(1, 0, 0)","(0, 0, 0, 11)",356.0349055665281,359.5573057979152,51.335366838514844,41.754754083728386,103.73090679264214
Sales,SARIMA,"(2, 0, 0)","(0, 0, 1, 11)",1234.857308646529,1240.720252257728,53.3949217311745,44.47716343657098,107.45990042037474
Sales,SARIMA,"(2, 0, 0)","(0, 0, 0, 11)",350.4551143451385,355.6681231999886,53.39548751696259,44.47792192731415,107.46091756135756
Sales,SARIMA,"(0, 0, 2)","(0, 0, 0, 11)",382.66651850771325,387.8072347078262,95.942816924134,86.26245108610323,107.76101778224196
Sales,SARIMA,"(1, 0, 1)","(0, 0, 1, 11)",1442.4202691915475,1448.1562180094882,53.596096119002304,44.795938218692264,107.80014067096467
Sales,SARIMA,"(1, 0, 1)","(0, 0, 0, 11)",350.41824479779655,355.63125365264665,53.810557284557824,45.081466345633196,108.16588565862457
Sales,SARIMA,"(1, 0, 2)","(0, 0, 1, 11)",1316.2049524443107,1323.2109393526216,54.45695841355747,46.42140549118516,109.28103175111067
Sales,SARIMA,"(2, 0, 1)","(0, 0, 1, 11)",1308.189886622193,1315.3598226446186,54.44853813697994,46.618979055809035,109.36095942277598
Sales,SARIMA,"(1, 0, 2)","(0, 0, 0, 11)",344.99998940841016,351.85427767522737,55.654128276863716,48.789530908397836,111.58959601358927
Sales,SARIMA,"(0, 0, 2)","(0, 0, 1, 11)",1515.6784830005972,1521.2832725272458,489.27534297601875,282.6725567349737,863.401078062305
Sales,SARIMA,"(1, 1, 2)","(0, 0, 1, 11)",1157.9740212388217,1164.810500388754,5032.521095370592,4351.762849586059,4739.212747506499
Sales,SARIMA,"(0, 0, 1)","(1, 0, 1, 11)",2000.4542931445624,2006.190241962503,243478413.44154105,73411507.3613964,59490688.05478828
Sales,SARIMA,"(2, 0, 2)","(0, 0, 1, 11)",2226.9415458057383,2235.3487300957113,12447078952.028841,7860827079.189997,6442012429.514893
Sales,SARIMA,"(2, 1, 1)","(0, 0, 1, 11)",1423.7476572625555,1430.7536441708664,20127436518656.582,13665900577666.555,12218161112608.443
Sales,ETS,trend=add,"seasonal=add, period=11",154.78943612711385,181.55228063588777,23.803378156151226,20.68407289532861,45.815990744590465
Sales,ETS,trend=add,"seasonal=None, period=-",240.81587300801542,247.95263154368845,51.11420582887287,41.665012535957004,103.216986840385
Sales,ETS,trend=None,"seasonal=add, period=11",154.75046007328146,177.94492531421884,27.06314011973379,23.526223623581494,45.25486012510314
Retail,SARIMA,"(0, 0, 0)","(0, 1, 0, 11)",192.7722061972165,194.23794210001623,0.37537859676477464,0.30000000000000004,3.0154234657423564
Retail,SARIMA,"(0, 0, 1)","(0, 1, 0, 11)",159.44368381450116,162.31165822347145,0.9900156947964398,0.5586276582505779,10.199525083813965
Retail,SARIMA,"(0, 0, 2)","(0, 1, 0, 11)",137.68368846698394,141.8872806119704,1.8330383422343084,0.9781779857172197,20.15230484496077
Retail,SARIMA,"(0, 0, 0)","(0, 1, 1, 11)",127.91352871592417,130.00257359137103,3.801448707564025,3.6242380810006654,33.23238489228413
Retail,SARIMA,"(0, 0, 1)","(0, 1, 1, 11)",106.81489966914864,109.80209648981062,3.8514286479806845,3.72065242093441,36.00709730310001
Retail,SARIMA,"(0, 0, 2)","(0, 1, 1, 11)",91.90690391777454,95.68465983444031,4.231452351861761,4.152373325748542,46.72539096063263
Retail,SARIMA,"(2, 0, 2)","(1, 0, 0, 11)",79.16815556650869,87.77207879341957,8.057233978184685,7.586245146854663,67.0726167827194
Retail,SARIMA,"(0, 0, 0)","(1, 0, 1, 11)",1163.4395357850885,1167.8367434934878,9.23979180076142,8.368011505188065,67.84283531197639
Retail,SARIMA,"(0, 0, 1)","(1, 0, 1, 11)",1223.8732990864253,1229.609247904366,9.249966543012844,8.406707215656498,68.91771615832172
